trip a,trip b,km,date,time,stops ,speed,duration,hurry,stress
home,sophie's work,6,12/16/2025,6:40 AM,3,40,25,1,8
sophie's work,home,6,12/16/2025,7:15 AM,1,50,15,0,4
home,QC hall,13,12/16/2025,1:51 PM,2,70,40,1,8
QC hall,QMMC,8,12/16/2025,2:10 PM,5,40,38,1,9
QMMC,School,11,12/16/2025,2:40 PM,7,30,110,1,10
School,sophie's work,16,12/16/2025,9:15 PM,2,75,35,0,4
sophie's work,home,6,12/16/2025,10:00 PM,0,50,20,0,3
home,sophie's work,6,12/17/2025,6:40 AM,3,40,25,1,8
sophie's work,home,6,12/17/2025,7:15 AM,1,50,15,0,4
home,Parish,0.6,12/17/2025,10:00 AM,0,40,5,0,0
Parish,home,0.6,12/17/2025,2:00 PM,0,40,5,0,0
home,Parish,0.6,12/17/2025,6:00 PM,0,40,5,0,0
home,sophie's work,6,12/17/2025,11:00 PM,0,60,15,0,3
sophie's work,home,6,12/17/2025,11:20 PM,1,50,15,0,0
home,sophie's work,6,12/18/2025,6:40 AM,3,40,25,1,8
sophie's work,home,6,12/18/2025,7:15 AM,1,50,15,0,4
home,QC hall,13,12/18/2025,9:00 AM,3,75,28,1,7
QC hall,QMMC,8,12/18/2025,10:00 AM,2,55,25,1,6
QMMC,sophie's work,11,12/18/2025,11:30 AM,0,80,17,1,9
sophie's work,home,6,12/18/2025,12:30 PM,0,50,15,0,4
home,sophie's work,6,12/18/2025,5:30 PM,0,60,15,0,3
sophie's work,home,6,12/18/2025,6:00 PM,1,50,15,0,0
home,Parish,0.6,12/19/2025,2:00 PM,0,40,5,0,0
Parish,Victorian,2.2,12/19/2025,4:00 PM,1,40,10,0,0
Victorian,home,2.5,12/19/2025,7:00 PM,1,40,12,0,0
home,Parish,0.6,12/20/2025,7:00 PM,0,40,5,0,0
Parish,home,0.6,12/20/2025,9:30 PM,0,40,5,0,0
home,Parish,0.6,12/21/2025,10:00 AM,0,40,5,0,0
Parish,home,0.6,12/21/2025,2:00 PM,0,40,5,0,0
